지점,일시,기온(°C),풍속(m/s),습도(%)
112,2019-05-25 01:00,18.6,2.1,77
112,2019-05-25 02:00,18.2,3.3,85
112,2019-05-25 03:00,18,3.1,88
112,2019-05-25 04:00,17.7,2.5,89
112,2019-05-25 05:00,17.9,2.9,86
112,2019-05-25 06:00,18,2.5,84
112,2019-05-25 07:00,18.8,2.5,77
112,2019-05-25 08:00,19.7,3.2,68
112,2019-05-25 09:00,21.2,2.7,55
112,2019-05-25 10:00,22.8,3.2,40
112,2019-05-25 11:00,24,3.4,31
112,2019-05-25 12:00,24.3,3.5,36
112,2019-05-25 13:00,24.6,2.8,37
112,2019-05-25 14:00,23.9,3,51
112,2019-05-25 15:00,24.4,2.7,55
112,2019-05-25 16:00,24.5,2.2,56
112,2019-05-25 17:00,24.7,2.8,53
112,2019-05-25 18:00,24.5,1.8,55
112,2019-05-25 19:00,23.9,1.9,58
112,2019-05-25 20:00,22.7,1.6,61
112,2019-05-25 21:00,21.9,1.8,64
112,2019-05-25 22:00,21.5,1.5,63
112,2019-05-25 23:00,21.6,2.3,61
112,2019-05-26 00:00,21.3,2.7,62
