지점,일시,최저기온(°C),최고기온(°C),일강수량(mm)
112,2018-01-01,-2.7,2.7,
112,2018-01-02,-4.3,.8,
112,2018-01-03,-6.1,-1.9,
112,2018-01-04,-7.6,-3.2,
112,2018-01-05,-5.1,-.2,
112,2018-01-06,-4.3,.9,
112,2018-01-07,-5.4,2,
112,2018-01-08,-1.7,3,.9
112,2018-01-09,-5.2,-.5,.3
112,2018-01-10,-9.6,-5.1,.2
112,2018-01-11,-12.7,-9.1,
112,2018-01-12,-14.4,-6.2,0
112,2018-01-13,-6.7,.6,.7
112,2018-01-14,-3.5,4.9,
112,2018-01-15,1.3,5.9,.2
112,2018-01-16,.5,6.1,0
112,2018-01-17,.9,7.2,
112,2018-01-18,.1,3.5,
112,2018-01-19,-1.6,4.9,
112,2018-01-20,-.6,6,
112,2018-01-21,-3.2,3.1,
112,2018-01-22,-5.1,4.7,1.6
112,2018-01-23,-13.8,-4.9,
112,2018-01-24,-15.2,-11.2,
112,2018-01-25,-15.7,-10,
112,2018-01-26,-17.1,-11.9,
112,2018-01-27,-14.3,-5.4,
112,2018-01-28,-8.2,-1.8,
112,2018-01-29,-10,-5.5,
112,2018-01-30,-9.9,.4,.6
112,2018-01-31,-3.6,.6,0
112,2018-02-01,-7.9,.2,
112,2018-02-02,-6.2,2.1,
112,2018-02-03,-9.2,-2.4,.3
112,2018-02-04,-11.7,-5.9,
112,2018-02-05,-10.1,-6.1,
112,2018-02-06,-11.8,-6.7,
112,2018-02-07,-11.9,-2.7,
112,2018-02-08,-7.9,0,
112,2018-02-09,-4.7,5.7,
112,2018-02-10,-6.2,1.7,
112,2018-02-11,-8.7,-2.4,.3
112,2018-02-12,-8.3,-3,.1
112,2018-02-13,-5.7,4.2,
112,2018-02-14,-1,7.2,
112,2018-02-15,-4.1,1.9,
112,2018-02-16,-5.6,2.7,
112,2018-02-17,-5.8,.7,
112,2018-02-18,-4.6,3.5,
112,2018-02-19,-1.4,5.3,
112,2018-02-20,-1.7,4.8,
112,2018-02-21,-3.9,3,
112,2018-02-22,-2.3,5.3,1.3
112,2018-02-23,.7,7.5,3.2
112,2018-02-24,-.9,4.6,
112,2018-02-25,-2.2,5.1,
112,2018-02-26,-2.6,6.3,
